o,t,c,ch,h,l,mb,mv,ra,se,va,vo
12000,1673880320000000000,11850,100,12100,11750,UNKNOWN,373700,0.85,3490,106312735000,8914000
12000,1673879415000000000,11850,100,12100,11750,BID,500,0.85,3489,106306810000,8913500
12000,1673879408000000000,11850,100,12100,11750,BID,2000,0.85,3488,106283110000,8911500
12000,1673879398000000000,11850,100,12100,11750,BID,200,0.85,3487,106280740000,8911300
12000,1673879396000000000,11850,100,12100,11750,BID,100,0.85,3486,106279555000,8911200
12000,1673879395000000000,11850,100,12100,11750,BID,2000,0.85,3485,106255855000,8909200
12000,1673879390000000000,11850,100,12100,11750,BID,800,0.85,3484,106246375000,8908400
12000,1673879385000000000,11850,100,12100,11750,BID,1000,0.85,3483,106234525000,8907400
12000,1673879384000000000,11850,100,12100,11750,BID,5000,0.85,3482,106175275000,8902400
12000,1673879382000000000,11850,100,12100,11750,BID,1000,0.85,3481,106163425000,8901400
12000,1673879380000000000,11850,100,12100,11750,BID,500,0.85,3480,106157500000,8900900
12000,1673879375000000000,11850,100,12100,11750,BID,200,0.85,3479,106155130000,8900700
12000,1673879363000000000,11850,100,12100,11750,BID,200,0.85,3478,106152760000,8900500
12000,1673879361000000000,11850,100,12100,11750,BID,500,0.85,3477,106146835000,8900000
12000,1673879355000000000,11850,100,12100,11750,BID,2000,0.85,3476,106123135000,8898000
12000,1673879351000000000,11850,100,12100,11750,BID,5000,0.85,3475,106063885000,8893000
12000,1673879348000000000,11850,100,12100,11750,ASK,20000,0.85,3474,105820960000,8872500
12000,1673879348000000000,11850,100,12100,11750,ASK,1000,0.85,3474,105809110000,8871500
12000,1673879348000000000,11850,100,12100,11750,ASK,3500,0.85,3474,105767635000,8868000
12000,1673879348000000000,11850,100,12100,11750,ASK,500,0.85,3474,106057960000,8892500
12000,1673879348000000000,11850,100,12100,11750,ASK,1400,0.85,3474,105751045000,8866600
12000,1673879346000000000,11850,100,12100,11750,ASK,3600,0.85,3469,105708385000,8863000
12000,1673879346000000000,11850,100,12100,11750,ASK,800,0.85,3468,105690610000,8861500
12000,1673879346000000000,11850,100,12100,11750,ASK,2000,0.85,3468,105652690000,8858300
12000,1673879346000000000,11850,100,12100,11750,ASK,400,0.85,3468,105685870000,8861100
12000,1673879346000000000,11850,100,12100,11750,ASK,800,0.85,3468,105676390000,8860300
12000,1673879346000000000,11850,100,12100,11750,ASK,200,0.85,3468,105706015000,8862800
12000,1673879346000000000,11850,100,12100,11750,ASK,500,0.85,3468,105700090000,8862300
12000,1673879346000000000,11850,100,12100,11750,ASK,800,0.85,3462,105643210000,8857500
12000,1673879346000000000,11850,100,12100,11750,ASK,100,0.85,3462,105638470000,8857100
12000,1673879346000000000,11850,100,12100,11750,ASK,2000,0.85,3462,105614770000,8855100
12000,1673879346000000000,11850,100,12100,11750,ASK,300,0.85,3462,105639655000,8857200
12000,1673879342000000000,11800,50,12100,11750,BID,1800,0.43,3458,105593530000,8853300
12000,1673879335000000000,11800,50,12100,11750,BID,1500,0.43,3457,105575830000,8851800
12000,1673879323000000000,11850,100,12100,11750,ASK,1800,0.85,3456,105554500000,8850000
12000,1673879323000000000,11850,100,12100,11750,ASK,400,0.85,3455,105549760000,8849600
12000,1673879319000000000,11850,100,12100,11750,ASK,1100,0.85,3454,105536725000,8848500
12000,1673879317000000000,11850,100,12100,11750,ASK,3000,0.85,3453,105501175000,8845500
12000,1673879311000000000,11850,100,12100,11750,ASK,3400,0.85,3452,105460885000,8842100
12000,1673879311000000000,11850,100,12100,11750,ASK,5000,0.85,3452,105401635000,8837100
12000,1673879311000000000,11850,100,12100,11750,ASK,100,0.85,3452,105400450000,8837000
12000,1673879311000000000,11850,100,12100,11750,ASK,100,0.85,3452,105387415000,8835900
12000,1673879311000000000,11850,100,12100,11750,ASK,1000,0.85,3452,105388600000,8836000
12000,1673879311000000000,11850,100,12100,11750,ASK,400,0.85,3452,105382675000,8835500
12000,1673879307000000000,11850,100,12100,11750,ASK,200,0.85,3446,105380305000,8835300
12000,1673879306000000000,11850,100,12100,11750,ASK,1000,0.85,3445,105368455000,8834300
12000,1673879306000000000,11850,100,12100,11750,ASK,3000,0.85,3444,105332905000,8831300
12000,1673879306000000000,11850,100,12100,11750,ASK,1000,0.85,3443,105321055000,8830300
12000,1673879306000000000,11850,100,12100,11750,ASK,100,0.85,3442,105319870000,8830200
12000,1673879306000000000,11850,100,12100,11750,ASK,2200,0.85,3441,105261805000,8825300
12000,1673879306000000000,11850,100,12100,11750,ASK,1000,0.85,3442,105308020000,8829200
12000,1673879306000000000,11850,100,12100,11750,ASK,1000,0.85,3441,105296170000,8828200
12000,1673879306000000000,11850,100,12100,11750,ASK,700,0.85,3441,105287875000,8827500
12000,1673879302000000000,11850,100,12100,11750,ASK,300,0.85,3437,105258250000,8825000
12000,1673879302000000000,11850,100,12100,11750,ASK,300,0.85,3437,105254695000,8824700
12000,1673879302000000000,11850,100,12100,11750,ASK,1400,0.85,3437,105238105000,8823300
12000,1673879295000000000,11850,100,12100,11750,ASK,1000,0.85,3435,105226255000,8822300
12000,1673879287000000000,11850,100,12100,11750,ASK,300,0.85,3434,105222700000,8822000
12000,1673879279000000000,11850,100,12100,11750,ASK,300,0.85,3433,105219145000,8821700
12000,1673879276000000000,11850,100,12100,11750,ASK,100,0.85,3432,105217960000,8821600
12000,1673879270000000000,11850,100,12100,11750,ASK,200,0.85,3431,105215590000,8821400
12000,1673879266000000000,11850,100,12100,11750,ASK,2000,0.85,3430,105191890000,8819400
12000,1673879257000000000,11850,100,12100,11750,ASK,4000,0.85,3429,105144490000,8815400
12000,1673879256000000000,11800,50,12100,11750,BID,900,0.43,3428,105133870000,8814500
12000,1673879256000000000,11800,50,12100,11750,BID,100,0.43,3428,105132690000,8814400
12000,1673879249000000000,11850,100,12100,11750,ASK,200,0.85,3426,105130320000,8814200
12000,1673879229000000000,11850,100,12100,11750,ASK,100,0.85,3425,105129135000,8814100
12000,1673879224000000000,11850,100,12100,11750,ASK,500,0.85,3424,105123210000,8813600
12000,1673879223000000000,11850,100,12100,11750,ASK,100,0.85,3423,105122025000,8813500
12000,1673879215000000000,11850,100,12100,11750,ASK,1800,0.85,3422,105100695000,8811700
12000,1673879215000000000,11850,100,12100,11750,ASK,500,0.85,3422,105094770000,8811200
12000,1673879215000000000,11850,100,12100,11750,ASK,3100,0.85,3422,105058035000,8808100
12000,1673879213000000000,11850,100,12100,11750,ASK,100,0.85,3419,105056850000,8808000
12000,1673879199000000000,11850,100,12100,11750,ASK,1000,0.85,3418,105045000000,8807000
12000,1673879192000000000,11800,50,12100,11750,BID,400,0.43,3417,105040280000,8806600
12000,1673879187000000000,11800,50,12100,11750,BID,400,0.43,3416,105035560000,8806200
12000,1673879186000000000,11850,100,12100,11750,ASK,200,0.85,3415,105033190000,8806000
12000,1673879185000000000,11850,100,12100,11750,ASK,600,0.85,3414,105026080000,8805400
12000,1673879185000000000,11850,100,12100,11750,ASK,500,0.85,3414,105020155000,8804900
12000,1673879185000000000,11850,100,12100,11750,ASK,1300,0.85,3414,104945500000,8798600
12000,1673879185000000000,11850,100,12100,11750,ASK,5000,0.85,3414,104960905000,8799900
12000,1673879182000000000,11850,100,12100,11750,ASK,300,0.85,3410,104941945000,8798300
12000,1673879182000000000,11850,100,12100,11750,ASK,100,0.85,3410,104940760000,8798200
12000,1673879182000000000,11800,50,12100,11750,BID,100,0.43,3408,104939580000,8798100
12000,1673879182000000000,11800,50,12100,11750,BID,300,0.43,3408,104936040000,8797800
12000,1673879177000000000,11800,50,12100,11750,BID,400,0.43,3406,104931320000,8797400
12000,1673879175000000000,11850,100,12100,11750,ASK,3300,0.85,3405,104892215000,8794100
12000,1673879175000000000,11850,100,12100,11750,ASK,5000,0.85,3405,104832965000,8789100
12000,1673879175000000000,11850,100,12100,11750,ASK,1700,0.85,3405,104812820000,8787400
12000,1673879172000000000,11800,50,12100,11750,BID,400,0.43,3402,104808100000,8787000
12000,1673879171000000000,11800,50,12100,11750,BID,1000,0.43,3401,104796300000,8786000
12000,1673879170000000000,11850,100,12100,11750,ASK,100,0.85,3400,104795115000,8785900
12000,1673879167000000000,11850,100,12100,11750,ASK,500,0.85,3399,104774970000,8784200
12000,1673879167000000000,11850,100,12100,11750,ASK,1200,0.85,3399,104780895000,8784700
12000,1673879167000000000,11850,100,12100,11750,ASK,200,0.85,3399,104769045000,8783700
12000,1673879167000000000,11850,100,12100,11750,ASK,300,0.85,3399,104771415000,8783900
12000,1673879167000000000,11800,50,12100,11750,BID,400,0.43,3395,104764325000,8783300
12000,1673879162000000000,11800,50,12100,11750,BID,400,0.43,3394,104759605000,8782900
12000,1673879157000000000,11800,50,12100,11750,BID,100,0.43,3393,104758425000,8782800
12000,1673879157000000000,11800,50,12100,11750,BID,200,0.43,3393,104756065000,8782600
